x,y
0.006,1.4964521966187427
0.012,1.278785157593554
0.021,1.567729069671092
0.053,1.8622976041987607
0.078,1.5991813150266767
0.084,1.377223117706144
0.101,1.8556276649936692
0.129,1.712629552466369
0.135,1.5023189932722592
0.147,1.5541047502661907
0.153,1.5802302379835587
0.159,1.463002633910213
0.187,1.4945690708677548
0.234,1.7850337202333204
0.23700000000000002,1.779996675441445
0.23900000000000002,1.4971224823502494
0.26,1.4804513617057362
0.261,1.4500367953556175
0.277,1.552039810223495
0.28,1.451066226444033
0.28400000000000003,1.6421114152756888
0.307,1.6924491217809212
0.324,1.7728790558266114
0.331,1.462159349132049
0.334,1.9520389110967784
0.35000000000000003,2.086950172684556
0.353,1.7335673039268593
0.366,1.566478229502419
0.369,1.6628417644209554
0.377,1.7824373706515857
0.384,1.598852159277655
0.385,1.7772840237205547
0.39,1.5581043470653089
0.41200000000000003,1.8498659947815157
0.423,1.5585463778651623
0.427,1.8098999236439328
0.429,1.7532144377849075
0.43,1.6052414811588804
0.431,2.060894714959398
0.438,1.759749880496812
0.461,1.8009355611200402
0.467,1.9246279492818699
0.484,1.6411014731886808
0.498,2.263778820340139
0.507,1.6739792618285005
0.515,1.8592860978184143
0.543,1.7407032837316632
0.553,1.5399113961458424
0.592,2.1318951481478807
0.592,2.1318951481478807
0.594,1.8596900931910534
0.6,1.763996041559406
0.604,1.7003953409262236
0.617,2.0639186075323974
0.621,1.8793002174682332
0.658,2.0728400909566855
0.6940000000000001,1.8402242406492813
0.6980000000000001,1.9542732669952478
0.7000000000000001,1.6916871402947935
0.7020000000000001,1.9742760144395306
0.708,1.7893809527622409
0.713,2.020754740779618
0.719,2.4573792881404777
0.726,2.1287997394270097
0.73,2.1693475682785217
0.742,2.0386787205046173
0.754,1.9854680138727498
0.783,1.7016883239956182
0.795,1.5629713433787897
0.8200000000000001,2.446158493385135
0.84,2.204867792461076
0.848,2.1497515602741006
0.852,2.4267184711441954
0.855,2.0208150594111842
0.863,2.1976458754110606
0.871,1.6924730762973101
0.877,1.8846782064965464
0.881,2.077870983692152
0.892,2.4905520828570546
0.896,1.7111668436320053
0.916,1.9749307263829405
0.935,2.233746145137229
0.9470000000000001,2.2141371011845905
0.972,1.8746141497204034
0.99,2.2791477390252606
0.992,2.5218407648198666
1.0190000000000001,2.1359507936948945
1.032,2.3873268937784133
1.051,2.1455773156986018
1.064,2.5513362536295863
1.065,2.373443479121095
1.07,2.4665818695013195
1.071,2.247726753671067
1.112,2.4620780242888567
1.124,2.2998476034905173
1.1340000000000001,2.3075891977510645
1.1400000000000001,2.5606162313956573
1.1420000000000001,2.5738010504363507
1.153,2.127861884464431
1.207,2.2868600747425276
1.216,2.386271064136166
1.222,2.565696491165343
1.226,2.2798483733226336
1.232,2.735768927305723
1.239,2.7513824717503708
1.249,2.468205583152546
1.2510000000000001,2.414270699788768
1.2510000000000001,2.414270699788768
1.2750000000000001,2.3800720104294286
1.308,2.571474908790379
1.321,2.6905065844657257
1.348,2.4131751928729064
1.36,2.6009980306141056
1.36,2.6009980306141056
1.423,2.167376758066548
1.449,3.4995683438127174
1.464,2.52528978154272
1.478,2.5605464551433887
1.478,2.5605464551433887
1.484,2.567946193648918
1.486,2.8787787145394077
1.491,2.768342950781253
1.502,3.228969884628059
1.5050000000000001,2.5802732283851553
1.5050000000000001,2.5802732283851553
1.542,2.492407463128959
1.55,2.841399194395727
1.554,2.8186464740861146
1.559,2.5570570441608327
1.569,2.5568184292534952
1.573,2.8396386953875563
1.586,2.582923171970625
1.615,2.6984295140661554
1.631,2.6981606682032164
1.653,3.447463108335817
1.6560000000000001,2.9730932360528324
1.665,2.607693666495765
1.668,3.1910616546348916
1.672,2.768536223219811
1.678,2.875048288431088
1.688,2.8816953752450574
1.69,3.1307156260742826
1.696,2.5873018485041803
1.698,3.1274318862689094
1.707,2.6017206023234776
1.711,3.004452115274666
1.756,3.3701481357999152
1.7590000000000001,3.175506344961772
1.7630000000000001,2.995731792003133
1.772,3.001829756685332
1.776,3.199630554530612
1.778,2.954872785795299
1.7810000000000001,2.989188643587209
1.798,2.691519776150718
1.813,3.6207370640000582
1.817,2.6853064758074945
1.818,3.1613491955470523
1.823,3.4384438316027035
1.826,3.452954910442199
1.831,3.4370128000098514
1.832,3.053957800028975
1.835,3.5214481857526696
1.841,3.5232715808792188
1.855,2.9993416585013817
1.857,2.6289064265958255
1.857,2.6289064265958255
